Event_Name,Event_Client_Id,Venue_Name,Event_Date,Event_Time,as_of_date,unique_views,order_qty,tkt_qty
Canucks vs. Stars,1100552676892A23,Rogers Arena,2019-03-30,19:00,2018-10-27,7,0,0
Canucks vs. Ducks,1100572384171F50,Rogers Arena,2022-03-15,19:00,2019-09-29,8,0,0
Canucks vs. Blues,11005B3CECE92D62,Rogers Arena,2022-03-30,19:00,2021-12-27,8,0,0
Canucks vs. Kings,11005B3CECFD2D76,Rogers Arena,2022-04-28,19:00,2022-05-11,10,0,0
Canucks vs. Vegas Golden Knights,11005B3CECF32D6A,Rogers Arena,2022-04-12,19:00,2022-01-05,10,0,0
Canucks vs. Devils,11005B3CECDF2D4E,Rogers Arena,2022-03-15,19:00,2022-01-07,17,0,0
Canucks vs. Islanders,11005723A11831B0,Rogers Arena,2020-03-10,19:00,2019-09-22,9,0,0
Canucks vs. Lightning,11005D05E88B52BE,Rogers Arena,2023-01-18,19:00,2022-09-08,18,0,0
Canucks vs. Islanders,11005723A11831B0,Rogers Arena,2020-03-10,19:00,2019-11-01,23,0,0
Canucks vs. Predators,1100572384031F43,Rogers Arena,2020-02-10,19:00,2019-11-22,30,0,0
Canucks vs. Lightning,11005EDDB651318C,Rogers Arena,2023-12-12,19:00,2023-10-07,40,0,0
Canucks vs. Islanders,11005EDDB63A314A,Rogers Arena,2023-11-15,19:00,2023-08-11,37,0,0
Canucks vs. Penguins,11005EDDB5F9307D,Rogers Arena,2024-02-27,19:00,2024-02-16,644,0,0
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2024-02-14,240,0,0
Canucks vs. Wings,11005EDDB5F1305E,Rogers Arena,2024-02-15,19:00,2024-01-26,666,0,0
Cancelled ticket due to 50% capacity Canucks vs Oilers,11005B3CECD22C7D,Rogers Arena,2022-01-25,19:00,2021-12-28,84,0,0
Canucks vs. Predators,11005B3CED112D88,Rogers Arena,2021-11-05,19:00,2021-11-06,207,0,0
Canucks vs. Jets,11005D05E8EE53A3,Rogers Arena,2022-12-17,19:00,2022-09-09,34,0,0
Canucks vs. Seattle Kraken,11005B3CED022D7A,Rogers Arena,2021-10-05,19:00,2021-10-02,555,0,0
Canucks vs. Vegas Golden Knights,11005526781E320B,Rogers Arena,2019-03-09,19:00,2018-09-25,33,0,0
Canucks vs. Sharks,11005526768F2A33,Rogers Arena,2019-04-02,19:00,2018-11-05,12,0,0
Canucks vs. Sharks,11005526768F2A33,Rogers Arena,2019-04-02,19:00,2018-10-28,15,0,0
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-09-04,15,0,0
Canucks vs. Sharks,11005EDDB6593198,Rogers Arena,2023-12-23,19:00,2023-12-25,54,0,0
Canucks vs. Flames,11005B3CECE42D5E,Rogers Arena,2022-03-19,19:00,2022-01-09,28,0,0
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2024-02-09,245,0,0
Canucks vs. Flames,11005EDDB61D30E0,Rogers Arena,2024-04-16,19:00,2023-09-14,7,0,0
Canucks vs. Flames,11005EDDB61D30E0,Rogers Arena,2024-04-16,19:00,2023-09-22,18,0,0
Cancelled ticket due to 50% capacity Canucks vs Blues,11005B3CECD02C79,Rogers Arena,2022-01-23,19:00,2021-10-01,4,0,0
Canucks vs. Wild,11005D05E8A252F5,Rogers Arena,2023-03-02,19:00,2023-03-07,4,0,0
Canucks vs. Flames,11005724C2CC37B1,Rogers Arena,2022-03-14,19:00,2020-05-20,3,0,0
Canucks vs. Coyotes,11005723A104316F,Rogers Arena,2020-01-16,19:00,2020-02-05,3,0,0
Canucks vs. Coyotes,11005723A104316F,Rogers Arena,2020-01-16,19:00,2020-02-15,3,0,0
Canucks vs. Blues,11005B3CECE92D62,Rogers Arena,2022-03-30,19:00,2021-09-30,2,0,0
Canucks vs. Sharks,11005723A12031DF,Rogers Arena,2022-03-13,19:00,2020-03-14,2,0,0
Canucks vs. Flames,11005B3CECD52C7F,Rogers Arena,2022-02-24,19:00,2022-02-28,2,0,0
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-12-30,1,0,0
Canucks vs. Senators,11005D05E8AC530E,Rogers Arena,2023-03-11,19:00,2023-05-01,1,0,0
Canucks vs. Jets,11005D05E8EE53A3,Rogers Arena,2022-12-17,19:00,2023-01-14,1,0,0
Canucks vs. Blackhawks,11005EDDB5E93019,Rogers Arena,2024-01-22,19:00,2024-02-28,0,0,0
Canucks vs. Kings,11005D05E8DC5360,Rogers Arena,2022-11-18,19:00,2023-01-26,0,0,0
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:00,2024-02-26,262,1,2
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:00,2023-12-31,30,1,3
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:00,2023-11-16,57,0,0
Canucks vs. Avalanche,11005EDDB6023093,Rogers Arena,2024-03-13,19:00,2024-01-15,156,1,2
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2024-01-31,199,2,5
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2024-03-04,318,0,0
Canucks vs. Penguins,11005EDDB5F9307D,Rogers Arena,2024-02-27,19:00,2023-12-10,53,2,4
Canucks vs. Kings,11005EDDB61030CC,Rogers Arena,2024-03-25,18:00,2023-11-28,25,2,4
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2024-01-16,126,3,8
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:00,2024-02-20,140,1,2
Canucks vs. Bruins,11005EDDB5F63078,Rogers Arena,2024-02-24,16:00,2024-02-01,686,0,0
Canucks vs. Wings,11005D05E89952E7,Rogers Arena,2023-02-13,19:00,2023-01-09,161,5,12
Canucks vs. Devils,11005EDDB649316B,Rogers Arena,2023-12-05,19:00,2023-08-30,50,3,7
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2023-03-16,474,11,29
Canucks vs. Stars,1100552676892A23,Rogers Arena,2019-03-30,19:00,2019-03-29,1255,49,106
Canucks vs. Seattle Kraken,11005EDDB63D315B,Rogers Arena,2023-11-18,19:00,2023-09-18,133,3,6
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-10-30,189,3,13
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2020-01-16,66,2,10
Canucks vs. Blues,11005723A1093175,Rogers Arena,2020-01-27,19:00,2019-11-12,78,6,18
Canucks vs. Panthers,11005723A12831FD,Rogers Arena,2019-10-28,19:00,2019-09-23,115,7,17
Canucks vs. Blue Jackets,11005D05E89652DD,Rogers Arena,2023-01-27,19:00,2023-01-10,323,5,20
Canucks vs. Seattle Kraken,11005EDDB63D315B,Rogers Arena,2023-11-18,19:00,2023-10-01,227,4,7
Canucks vs. Sharks,11005D05E8F853AC,Rogers Arena,2022-12-27,19:00,2022-11-27,366,8,16
Canucks vs. Seattle Kraken,11005D05E8F553A7,Rogers Arena,2022-12-22,19:00,2022-10-18,147,4,18
Canucks vs. Blues,11005EDDB5EB3038,Rogers Arena,2024-01-24,19:00,2023-12-08,179,3,7
